name,ticker,sector,subsector,country,market_cap_bn,esg_score,env_score,social_score,gov_score,scope1_ktco2e,scope2_ktco2e,scope3_ktco2e,revenue_mn,renewable_energy_pct,employees,women_mgmt_pct,board_diversity_pct,board_independence_pct,taxonomy_eligible_pct,taxonomy_aligned_pct,has_sbti,net_zero_year,controversy_score,carbon_intensity
NextEra Energy,NEE,Renewable Energy,Integrated Renewables,US,150.2,75,82,68,75,24500,480,5200,28100,65,16200,28,33,92,72,58,True,2045,1,888.9679715302491
First Solar,FSLR,Renewable Energy,Solar Manufacturing,US,22.8,71,78,65,70,95,340,1800,3500,40,7200,25,30,88,92,78,True,2040,1,124.28571428571429
Enphase Energy,ENPH,Renewable Energy,Solar Technology,US,16.5,66,72,60,65,5,18,420,2290,55,3400,22,25,85,95,82,False,2040,0,10.043668122270743
Brookfield Renewable,BEPC,Renewable Energy,Diversified Renewables,CA,20.1,78,85,70,78,120,45,310,4860,95,3200,30,36,90,96,90,True,2035,0,33.95061728395061
Orsted,DNNGY,Renewable Energy,Offshore Wind,DK,28.4,82,88,75,82,680,110,4500,17200,91,8100,32,40,95,94,88,True,2040,0,45.93023255813954
Vestas Wind Systems,VWDRY,Renewable Energy,Wind Turbines,DK,18.9,80,86,74,80,55,72,8200,15400,78,28700,24,38,91,98,91,True,2030,1,8.246753246753247
SolarEdge Technologies,SEDG,Renewable Energy,Solar Technology,IL,3.1,63,70,58,62,8,25,650,2980,35,5400,20,22,78,93,72,False,2050,1,11.073825503355705
Plug Power,PLUG,Renewable Energy,Hydrogen / Fuel Cells,US,2.8,55,65,48,52,42,38,280,890,45,3600,18,20,75,88,55,False,2050,2,89.8876404494382
Duke Energy,DUK,Utilities,Electric Utility,US,82.5,66,60,65,72,54000,1200,8500,29100,18,27600,26,35,93,45,22,True,2050,2,1896.9072164948452
Southern Company,SO,Utilities,Electric Utility,US,88.3,62,55,62,70,48000,980,7200,24500,15,27000,24,33,92,38,18,True,2050,2,1999.1836734693877
Dominion Energy,D,Utilities,Electric Utility,US,46.2,62,58,60,68,28000,650,4800,14400,22,17200,25,30,90,48,25,True,2050,1,1989.5833333333333
National Grid,NGG,Utilities,Gas & Electric Utility,UK,52.8,76,75,72,80,2100,380,26000,21600,35,29300,30,42,88,62,40,True,2050,1,114.81481481481481
Exelon,EXC,Utilities,Electric Utility,US,40.1,69,68,66,74,5200,890,42000,21400,55,19500,27,35,91,58,35,True,2050,1,284.5794392523365
AES Corporation,AES,Utilities,Power Generation,US,12.4,68,70,63,70,32000,520,3500,12700,38,8600,29,36,89,52,30,True,2040,2,2560.629921259843
TotalEnergies,TTE,Oil & Gas,Integrated Energy,FR,148.5,58,52,58,65,38000,4200,380000,218700,8,101000,27,42,82,18,6,False,2050,3,192.9583904892547
Shell,SHEL,Oil & Gas,Integrated Energy,NL,212.3,55,48,55,62,52000,8500,1200000,316400,5,93000,30,38,85,12,3,False,2050,4,191.21365360303415
BP,BP,Oil & Gas,Integrated Energy,UK,96.8,55,50,54,60,34000,5800,320000,197300,6,87800,28,36,86,14,4,False,2050,4,201.72326406487582
Equinor,EQNR,Oil & Gas,Integrated Energy,NO,72.5,66,62,65,72,12500,420,250000,105400,12,22000,35,45,80,22,10,False,2050,2,122.58064516129032
Brookfield Infrastructure,BIP,Infrastructure,Diversified Infrastructure,CA,15.6,72,72,68,75,4200,1100,8800,19800,42,48000,26,30,86,55,35,True,2050,1,267.67676767676767
Waste Management,WM,Infrastructure,Environmental Services,US,82.3,70,68,67,75,18500,620,5400,20400,22,49000,24,33,90,42,28,True,2040,2,937.2549019607843
Equinix,EQIX,Digital Infrastructure,Data Centers,US,78.2,75,78,70,76,85,1450,2100,8200,96,13500,31,36,92,68,52,True,2030,0,187.1951219512195
Digital Realty,DLR,Digital Infrastructure,Data Centers,US,42.1,71,74,67,73,62,1800,1500,5500,75,4200,28,33,88,65,45,True,2040,0,338.54545454545456
American Tower,AMT,Digital Infrastructure,Telecom Towers,US,95.4,69,70,64,72,450,680,1200,11100,42,6200,26,30,90,55,32,True,2045,1,101.8018018018018
Crown Castle,CCI,Digital Infrastructure,Telecom Towers,US,48.7,67,66,64,70,35,290,680,6800,30,5100,23,28,85,50,28,False,2050,1,47.79411764705882
Welltower,WELL,Social Infrastructure,Healthcare Real Estate,US,55.6,70,63,74,72,210,580,2800,6800,15,400,35,40,91,35,18,False,2050,0,116.1764705882353
